"Wahlkampf: Rösler schließt Koalition mit der AfD klar aus - DIE WELT;;Wed, 18 Sep 2013 07:00:00 GMT;;https://www.welt.de/politik/deutschland/article120140968/Roesler-schliesst-Koalition-mit-der-AfD-klar-aus.html;;Sentiment(polarity=1.0, subjectivity=0.0)"
"AfD-Politikerin: Das Rätsel um ein Schließfach mit 98.000 Euro - DIE WELT;;Sun, 15 Sep 2013 07:00:00 GMT;;https://www.welt.de/politik/deutschland/article120027696/Das-Raetsel-um-ein-Schliessfach-mit-98-000-Euro.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
"AfD: Hans-Olaf Henkel rechnet mit FDP und CDU ab - DIE WELT;;Thu, 19 Sep 2013 07:00:00 GMT;;https://www.welt.de/politik/deutschland/article120185279/Hans-Olaf-Henkel-rechnet-mit-FDP-und-CDU-ab.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
"Streit um Titel: Bernd Lucke drängt Hessen-AfD-Chef zum Rücktritt - DIE WELT;;Thu, 26 Dec 2013 08:00:00 GMT;;https://www.welt.de/politik/deutschland/article123314848/Bernd-Lucke-draengt-Hessen-AfD-Chef-zum-Ruecktritt.html;;Sentiment(polarity=-0.7, subjectivity=0.0)"
"„Bahamas-Koalition“: Opposition wittert Bündnis zwischen Union und AfD - DIE WELT;;Wed, 11 Sep 2013 07:00:00 GMT;;https://www.welt.de/politik/wahl/bundestagswahl/article119926791/Opposition-wittert-Buendnis-zwischen-Union-und-AfD.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
"AfD-Landeschef: ""Wenn jemand islamkritisch ist, findet er Platz"" - DIE WELT;;Tue, 29 Oct 2013 07:00:00 GMT;;https://www.welt.de/regionales/duesseldorf/article121334049/Wenn-jemand-islamkritisch-ist-findet-er-Platz.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
"Berlin-Hellersdorf: Warum die AfD in einer Linken-Hochburg so stark ist - DIE WELT;;Tue, 24 Sep 2013 07:00:00 GMT;;https://www.welt.de/politik/bundestagswahl/article120330673/Warum-die-AfD-in-einer-Linken-Hochburg-so-stark-ist.html;;Sentiment(polarity=0.7, subjectivity=0.0)"
"Bundestagswahl: Demoskopen sehen Patt – mit Unsicherheitsfaktor AfD - DIE WELT;;Fri, 20 Sep 2013 07:00:00 GMT;;https://www.welt.de/politik/wahl/bundestagswahl/article120228143/Demoskopen-sehen-Patt-mit-Unsicherheitsfaktor-AfD.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
"Gastkommentar: Alternative für Deutschland – ein Lebensgefühl - DIE WELT;;Sun, 20 Oct 2013 07:00:00 GMT;;https://www.welt.de/debatte/kommentare/article121053564/Alternative-fuer-Deutschland-ein-Lebensgefuehl.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
"Drei Festnahmen, 16 Verletzte Messer-Angriff auf AfD-Chef Lucke! - BILD;;Sat, 24 Aug 2013 07:00:00 GMT;;https://www.bild.de/politik/inland/alternative-fuer-deutschland/parteichef-lucke-bei-wahlkampf-veranstaltung-angegriffen-31969686.bild.html;;Sentiment(polarity=-0.5, subjectivity=0.0)"
"AfD will strengere Regeln für Abtreibung zum ""Überleben des Volkes"" - T-Online;;Thu, 21 Aug 2014 07:00:00 GMT;;https://www.t-online.de/nachrichten/deutschland/parteien/id_70712796/afd-will-strengere-regeln-fuer-abtreibung-zum-ueberleben-des-volkes-.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
"AfD-Jugend gerät mit Facebook-Aufruf ins Visier der Justiz - T-Online;;Thu, 15 May 2014 07:00:00 GMT;;https://www.t-online.de/nachrichten/deutschland/parteien/id_69439004/afd-jugend-geraet-mit-facebook-aufruf-ins-visier-der-justiz.html;;Sentiment(polarity=1.0, subjectivity=0.0)"
"AfD feiert Erfolg mit Goldhandel - Goldpreis höher als bei Banken - T-Online;;Sun, 02 Nov 2014 07:00:00 GMT;;https://www.t-online.de/nachrichten/deutschland/parteien/id_71625598/afd-feiert-erfolg-mit-goldhandel-goldpreis-hoeher-als-bei-banken.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
"AfD-Abgeordneter verzichtet auf Amt des Alterspräsidenten in Sachsen - T-Online;;Fri, 05 Sep 2014 07:00:00 GMT;;https://www.t-online.de/nachrichten/deutschland/parteien/id_70874892/afd-abgeordneter-verzichtet-auf-amt-des-alterspraesidenten-in-sachsen.html;;Sentiment(polarity=0.0, subjectivity=0.0)"
