"Heikler Deal: AfD bekam günstigen Millionenkredit von Hamburger Reeder - Spiegel Online,""Sun, 15 Dec 2013 08:00:00 GMT"",https://www.spiegel.de/politik/deutschland/afd-bekam-guenstigen-millionenkredit-von-hamburger-reeder-a-939158.html"
"AfD-Umfragedaten: ZDF verwirrt mit Wahlgrafik - Spiegel Online,""Fri, 20 Sep 2013 07:00:00 GMT"",https://www.spiegel.de/politik/deutschland/zdf-verwirrt-mit-wahlgrafik-afd-wittert-intrige-a-923580.html"
"AfD-Aktivist Wolfgang Glomb: Herr Ministerialrat wird Euro-Fighter - Spiegel Online,""Sat, 12 Oct 2013 07:00:00 GMT"",https://www.spiegel.de/wirtschaft/soziales/wolfgang-glomb-half-bei-der-euro-einfuehrung-nun-kaempft-er-fuer-die-afd-a-925893.html"
"Gewaltandrohungen: AfD braucht im Wahlkampf Polizeischutz - DIE WELT,""Tue, 13 Aug 2013 07:00:00 GMT"",https://www.welt.de/politik/deutschland/article118964522/AfD-braucht-im-Wahlkampf-Polizeischutz.html"
"Bundestagswahl: Warum die AfD dem Bischof mit Homo-Ehe kommt - DIE WELT,""Fri, 16 Aug 2013 07:00:00 GMT"",https://www.welt.de/debatte/kommentare/article119085418/Warum-die-AfD-dem-Bischof-mit-Homo-Ehe-kommt.html"
"AfD-Wahlkampfauftakt:  Gegen Ja-Sager, Abnicker, Diätenkassierer  - DIE WELT,""Sat, 17 Aug 2013 07:00:00 GMT"",https://www.welt.de/politik/deutschland/article119123922/Gegen-Ja-Sager-Abnicker-Diaetenkassierer.html"
"Euro-Kritiker: Das Problem der AfD mit der Freiheit - DIE WELT,""Tue, 08 Oct 2013 07:00:00 GMT"",https://www.welt.de/politik/deutschland/article120741246/Das-Problem-der-AfD-mit-der-Freiheit.html"
"Positionspapier: Die AfD will zurück zu Bismarcks Außenpolitik - DIE WELT,""Tue, 10 Sep 2013 07:00:00 GMT"",https://www.welt.de/politik/deutschland/article119895035/Die-AfD-will-zurueck-zu-Bismarcks-Aussenpolitik.html"
"Zehn Thesen: AfD-Chef Lucke zettelt Islam-Debatte an - DIE WELT,""Thu, 07 Nov 2013 08:00:00 GMT"",https://www.welt.de/politik/deutschland/article121656967/AfD-Chef-Lucke-zettelt-Islam-Debatte-an.html"
"Euro-Kritiker: AfD-Chef Lucke kandidiert für Europawahl 2014 - DIE WELT,""Sat, 19 Oct 2013 07:00:00 GMT"",https://www.welt.de/politik/deutschland/article121038232/AfD-Chef-Lucke-kandidiert-fuer-Europawahl-2014.html"
"Parteiquerelen: Putsch und Intrigen   “ AfD zerfleischt sich selbst - DIE WELT,""Mon, 02 Dec 2013 08:00:00 GMT"",https://www.welt.de/politik/deutschland/article122480300/Putsch-und-Intrigen-AfD-zerfleischt-sich-selbst.html"
"Firma in Leipzig : AfD-Co-Vorsitzende Petry muss Insolvenz anmelden - DIE WELT,""Wed, 16 Oct 2013 07:00:00 GMT"",https://www.welt.de/politik/deutschland/article120953911/AfD-Co-Vorsitzende-Petry-muss-Insolvenz-anmelden.html"
"Forsa-Studie: AfD-Anhänger aus dem Milieu der Sch önhuber-Wähler - DIE WELT,""Wed, 18 Sep 2013 07:00:00 GMT"",https://www.welt.de/politik/deutschland/article120160405/AfD-Anhaenger-aus-dem-Milieu-der-Schoenhuber-Waehler.html"
"Bundestagswahl: Die AfD artikuliert berechtigte Sorgen - DIE WELT,""Mon, 23 Sep 2013 07:00:00 GMT"",https://www.welt.de/debatte/kommentare/article120310847/Die-AfD-artikuliert-berechtigte-Sorgen.html"
"Peter Gauweiler:  Die AfD ist eine politische Hallo-wach-Tablette  - DIE WELT,""Sun, 01 Dec 2013 08:00:00 GMT"",https://www.welt.de/politik/deutschland/article122438921/Die-AfD-ist-eine-politische-Hallo-wach-Tablette.html"
"AfD Hessen: Schatzmeister fliegt wegen Extremismus-Vorwürfen - DIE WELT,""Fri, 20 Dec 2013 08:00:00 GMT"",https://www.welt.de/politik/deutschland/article123184000/Schatzmeister-fliegt-wegen-Extremismus-Vorwuerfen.html"
"Landtagswahl Hessen: Verzählt   “ Nachschlag für die AfD in Frankfurt - DIE WELT,""Sat, 28 Sep 2013 07:00:00 GMT"",https://www.welt.de/politik/deutschland/article120476123/Verzaehlt-Nachschlag-fuer-die-AfD-in-Frankfurt.html"
"AfD-Kandidatin: Beatrix von Storch war jetzt beim Notar - DIE WELT,""Mon, 16 Sep 2013 07:00:00 GMT"",https://www.welt.de/politik/wahl/bundestagswahl/article120097351/Beatrix-von-Storch-war-jetzt-beim-Notar.html"
"Verkappte Spende: AfD drohen rechtliche Folgen wegen Millionenkredit - DIE WELT,""Mon, 16 Dec 2013 08:00:00 GMT"",https://www.welt.de/politik/deutschland/article122965534/AfD-drohen-rechtliche-Folgen-wegen-Millionenkredit.html"
"Streit um Titel: Bernd Lucke drängt Hessen-AfD-Chef zum Rücktritt - DIE WELT,""Thu, 26 Dec 2013 08:00:00 GMT"",https://www.welt.de/politik/deutschland/article123314848/Bernd-Lucke-draengt-Hessen-AfD-Chef-zum-Ruecktritt.html"
"AfD-Landeschef: ""Wenn jemand islamkritisch ist, findet er Platz"" - DIE WELT,""Tue, 29 Oct 2013 07:00:00 GMT"",https://www.welt.de/regionales/duesseldorf/article121334049/Wenn-jemand-islamkritisch-ist-findet-er-Platz.html"
" Bahamas-Koalition : Opposition wittert Bündnis zwischen Union und AfD - DIE WELT,""Wed, 11 Sep 2013 07:00:00 GMT"",https://www.welt.de/politik/wahl/bundestagswahl/article119926791/Opposition-wittert-Buendnis-zwischen-Union-und-AfD.html"
"Berlin-Hellersdorf: Warum die AfD in einer Linken-Hochburg so stark ist - DIE WELT,""Tue, 24 Sep 2013 07:00:00 GMT"",https://www.welt.de/politik/bundestagswahl/article120330673/Warum-die-AfD-in-einer-Linken-Hochburg-so-stark-ist.html"
"Gastkommentar: Alternative für Deutschland   “ ein Lebensgefühl - DIE WELT,""Sun, 20 Oct 2013 07:00:00 GMT"",https://www.welt.de/debatte/kommentare/article121053564/Alternative-fuer-Deutschland-ein-Lebensgefuehl.html"
"Ukip: Provokant und stark   “ das britische Pendant zur AfD - DIE WELT,""Sat, 21 Sep 2013 07:00:00 GMT"",https://www.welt.de/politik/ausland/article120241965/Provokant-und-stark-das-britische-Pendant-zur-AfD.html"
"AfD will Kinderlose deutlich stärker belasten - FAZ - Frankfurter Allgemeine Zeitung,""Fri, 23 Aug 2013 07:00:00 GMT"",https://www.faz.net/aktuell/wirtschaft/wirtschaftspolitik/sozialprogramm-afd-will-kinderlose-deutlich-staerker-belasten-12542904.html"
"AfD sieht sich Angriffen ausgesetzt - FAZ - Frankfurter Allgemeine Zeitung,""Tue, 13 Aug 2013 07:00:00 GMT"",https://www.faz.net/aktuell/politik/bundestagswahl/parteien-und-kandidaten/kritik-an-gruener-jugend-afd-sieht-sich-angriffen-ausgesetzt-12530705.html"
"AfD nimmt sich Bismarck zum Vorbild - FAZ - Frankfurter Allgemeine Zeitung,""Thu, 12 Sep 2013 07:00:00 GMT"",https://www.faz.net/aktuell/politik/bundestagswahl/aussenpolitisches-konzept-afd-nimmt-sich-bismarck-zum-vorbild-12569281.html"
